title,date,publisher,venue,authors,abstract,요약
The VEGFA gene and anterior cruciate ligament rupture risk in the Caucasian population,2018-12-28,Termedia Sp. z.o.o.,Biology of Sport,"Ewelina Lulińska-Kuklik, Katarzyna Leźnicka, Kinga Humińska-Lisowska, Waldemar Moska, Monika Michałowska-Sawczyn, Zbigniew Ossowski, Ewelina Maculewicz, Paweł Cięszczyk, Mariusz Kaczmarczyk, Wojciech Ratkowski, Krzysztof Ficek, Piotr Zmijewski, Agata Leońska-Duniec","The aim of the present study was to analyse VEGFA rs699947, rs1570360, and rs2010963 polymorphisms with susceptibility to anterior cruciate ligament rupture (ACLR) in a Polish population. The study included 412 physically active Caucasian participants. The study group consisted of 222 individuals with surgically diagnosed primary ACLR qualified for ligament reconstruction (ACLR group). The control group consisted of 190 apparently healthy participants without any history of ACLR (CON group). Three polymorphisms within the VEGFA (rs699947, rs1570360, and rs2010963) gene were chosen for investigation due to their significance in the angiogenesis signalling pathway and previous associations with risk of ACLRs. Both single-locus and haplotype-based analyses were conducted. No significant differences in the allele and genotype frequency distributions were noted for the rs699947 and rs1570360 polymorphisms. In contrast, rs2010963 was associated with risk of ACLR in the codominant (p=0.047) and recessive model (p=0.017). In the latter, the CC genotype was overrepresented among individuals with ACL rupture (23.4% vs 14.2%, OR=1.85 [1.11-3.08]). Two VEGFA haplotypes were associated with ACLR under the additive (global score=11.39, p=0.022) and dominant model (global score=11.61, p=0.020). The [C;G;G] haplotype was underrepresented in the ACLR group (52.2% vs. 60.3%), whereas the [C;G;C] haplotype was overrepresented (2.9% vs 0.5%). The results obtained suggest a potential correlation between the VEGFA rs2010963 polymorphism and ACLR risk, suggesting that harbouring this specific C allele may be an unfavourable risk factor for a knee injury in Caucasian participants from Poland.","This paper investigates the association of specific VEGFA gene polymorphisms (rs699947, rs1570360, and rs2010963) with the risk of anterior cruciate ligament rupture (ACLR) in a Caucasian Polish population, highlighting the findings from both single-locus and haplotype analyses. The study identifies that the rs2010963 polymorphism is significantly associated with an increased risk of ACLR, suggesting that the C allele may be a genetic risk factor for knee injuries."
The relationship between ACTN3 R577X gene polymorphism and physical performance in amateur soccer players and sedentary individuals,2018-12-28,Termedia Sp. z.o.o.,Biology of Sport,"Fatma E. Koku, Süleyman O. Karamızrak, Aynur S. Çiftçi, Hasan Taşlıdere, Burak Durmaz, Özgür Çoğulu","The aim of this study was to determine the distribution of ACTN3 R577X gene polymorphism in soccer players and sedentary individuals, and to investigate the relationship of this distribution with performance tests. A total of 100 soccer players and 101 sedentary individuals were enrolled in the study. Standing long jump and countermovement jump (with arm swing, without arm swing and repeated) scores were recorded, using a jump meter. Maximum VO2 levels were measured using a treadmill-connected cardiopulmonary exercise device, Masterscreen CPX. ACTN3 R577X polymorphism was evaluated by real-time PCR. ACTN3 R577X genotype distribution was found to be similar in soccer players and controls (p>0.05). The only statistically significant finding was a shorter countermovement jump with arm swing scores in the RR-genotyped soccer players, compared with their RX genotyped counterparts (p<0.05). In the soccer player group, RX-genotyped subjects were observed to have lower respiratory threshold values compared with RR-genotyped subjects (p<0.05). No significant correlation was detected between this distribution and performance test results. ACTN3 R577X genotype distribution was found to have no effect on sprint and endurance characteristics in amateur soccer players. The ACTN3 R577X polymorphism may not be a specific enough genetic marker to determine athletic performance in soccer.","The study investigates the distribution of the ACTN3 R577X gene polymorphism in amateur soccer players and sedentary individuals and its relationship with various performance tests. The findings indicate that while there was no significant effect of the ACTN3 R577X polymorphism on athletic performance, differences in jump scores and respiratory thresholds were noted among different genotypes within the soccer player group."
Reliability and validity of field‐based fitness tests in youth soccer players,2018-12-27,Wiley,European Journal of Sport Science,"James H. Dugdale, Calum A. Arthur, Dajo Sanders, Angus M. Hunter","ABSTRACT This study aimed to establish between‐day reliability and validity of commonly used field‐based fitness tests in youth soccer players of varied age and playing standards, and to discriminate between players without (“unidentified”) or with (“identified”) a direct route to professional football through their existing club pathway. Three‐hundred‐and‐seventy‐three Scottish youth soccer players (U11–U17) from three different playing standards (amateur, development, performance) completed a battery of commonly used generic field‐based fitness tests (grip dynamometry, standing broad jump, countermovement vertical jump, 505 (505COD) and T‐Drill (T‐Test) change of direction and 10/20 m sprint tests) on two separate occasions within 7–14 days. The majority of field‐based fitness tests selected within this study proved to be reliable measures of physical performance (ICC = 0.83–0.97; p &lt; .01). However, COD tests showed weaker reliability in younger participants (ICC = 0.57–0.79; p &lt; .01). The field‐based fitness testing battery significantly discriminated between the unidentified and identified players; χ 2 (7) = 101.646, p &lt; .001, with 70.2% of players being correctly classified. We have shown field‐based fitness tests to be reliable measures of physical performance in youth soccer players. However, results from the 505COD and T‐Test change of direction tests may be more variable in younger players, potentially due to complex demands of these tests and the limited training age established by these players. While the testing battery selected in this study was able to discriminate between unidentified and identified players, findings were inconsistent when attempting to differentiate between individual playing standards within the “identified” player group (development vs. performance).","This paper investigates the reliability and validity of common field-based fitness tests in youth soccer players, focusing on their effectiveness in distinguishing between players with direct pathways to professional football and those without. The study finds that while most tests demonstrate high reliability, change of direction tests show lower reliability in younger players, indicating variability in performance likely due to the complex nature of these assessments."
A mathematical model for decision-making in the classification of para-footballers with different severity of coordination impairments,2018-12-24,Informa UK Limited,Journal of Sports Sciences,"Diego Pastor, María Campayo-Piernas, Jesús Tadeo Pastor, Raul Reina","Classification is a defining feature of Para-sport, and sports-specific classification systems determined through multidisciplinary scientific research are required, i.e., evidence-based and focused on the relationship between the impairment and the key performance determinants. Data envelopment analysis (DEA) was applied as a classification tool using a directional distance function (DDF) model. The aim of the study was to test the DEA as a possible classification tool in cerebral palsy football. We analyse the performance of 56 international para-footballers with hypertonia, ataxia or athetosis, who completed a 20-test battery with DEA models. Five of the tests are included in the model (change of direction: Illinois agility test; jumping: standing broad jump, four bounds for distance, and triple hop with the non-dominant leg; 10-m sprint/acceleration; and ball dribbling, both in a straight line and following a trajectory), showing that players with less impairment exhibit the highest efficiency. This outcome suggests that DEA models might be feasible for detecting and discriminating the performance and magnitude of impairment in cerebral palsy football, with an objective ranking of the athletes in relation to different physical performance tests. This study also provides reference scores for decision-making during classification and guidance for further research in team Paralympic sports.","This paper explores the use of Data Envelopment Analysis (DEA) as a classification tool for para-footballers with varying degrees of coordination impairments. It evaluates the performance of athletes with cerebral palsy across multiple physical tests, demonstrating the potential for DEA models to objectively rank players based on their physical performance and severity of impairment, thereby enhancing classification systems in Para-sport."
Postural Control Deficits After Repetitive Soccer Heading,2018-12-15,Ovid Technologies (Wolters Kluwer Health),Clinical Journal of Sport Medicine,"Jaclyn B. Caccese, Thomas A. Buckley, Ryan T. Tierney, William C. Rose, Joseph J. Glutting, Thomas W. Kaminski","To determine the acute effects of repetitive soccer heading on postural control.Prospective study; participants were divided into 2 groups: a soccer heading group and a control group.Biomechanics laboratory.One hundred sixty participants, including youth (age = 13.0 ± 0.8 years), high school (age = 17.2 ± 1.0 years), and collegiate (age = 20.2 ± 1.3 years) male and female soccer players, participated in this study.Participants in the soccer heading group performed 12 soccer headers (initial velocity = 11.2 m/s). Postural control testing was performed both before (PRE) and immediately after (POST) the purposeful soccer headers. Control participants performed postural control testing PRE and POST a 15-minute wait period. During postural control testing, participants were asked to stand on the MobileMat (Tekscan Inc, Boston, Massachusetts) for two 2-minute intervals with their hands on their hips and their feet together with one eyes-open and one eyes-closed trial.Using the center-of-pressure data, 95% area, sway velocity, and ApEn were calculated. Multilevel linear models were used to analyze the effects of age, sex, group, condition, and concussion history simultaneously.Participants in the soccer heading group had significantly higher sway velocity POST than participants in the control group after controlling for age, sex, concussion history, condition, and PRE (t = -3.002; P = 0.003; 95% confidence interval, -0.482 to -0.100). There were no significant differences from PRE to POST for 95% area, M/L ApEn, and A/P ApEn.Repetitive soccer heading does not affect most postural control measures, even among youth athletes. However, sway velocity increased after heading relative to control participants independent of age, sex, and concussion history.","This paper investigates the acute effects of repetitive soccer heading on postural control among youth, high school, and collegiate soccer players. The findings reveal that while initial sway velocity significantly increased after heading, other postural control measures remained unchanged, suggesting that short-term heading may specifically affect balance dynamics regardless of demographic factors."
Comparative Analysis of Load Profile between Small-Sided Games and Official Matches in Youth Soccer Players,2018-12-12,MDPI AG,Sports,"Carlos Gómez-Carmona, José Gamonales, José Pino-Ortega, Sergio Ibáñez","The purposes of the present study are: (a) to characterize the external (eTL) and internal load (iTL) of official matches and small-sided games (SSGs) in relation to their objective, (b) to compare demands between SSG, and (c) to analyze the SSG requirements in relation to official matches during a one-month competition period. Twenty under-18 national-level soccer players were recorded using WIMUTM inertial devices (RealTrack Systems, Almeria, Spain) during four official matches and 12 training sessions where four SSGs with different objectives were performed: (SSG1) keeping the ball; (SSG2) keeping the ball and progressing; (SSG3) keeping the ball, progressing and ending in mini-goals; and (SSG4) keeping the ball, progressing and ending in an official goal with a goalkeeper. Statistical analysis included Kruskall-Wallis’ H and Mann-Whitney’s U with Cohen’s d effect size. The SSGs presented walking and jogging intensity movements (0.7–7 to 7–14 km/h), with a 5-to-8 %HIA (high intensity activity, &gt;16 km/h), where low intensity accelerations, decelerations and impacts were predominant (1–2.5 m/s2; 5–7 G), and %HRMAX (maximum heart rate percentage) was between 70–90%. Only SSG4 presented similar demands to competition, finding differences between SSGs (p &lt; 0.05; d = 1.40 − 0.36). In conclusion, the objective of the SSGs directly influenced the demands on the players in training sessions. For this reason, it is important to monitor demands for designing specific training sessions.","This study compares the external and internal load of official matches and small-sided games (SSGs) in youth soccer players to understand their demands and objectives. Results indicate that the intensity and nature of SSGs vary significantly, with SSG4 closely mirroring competition demands, highlighting the importance of tailoring training sessions to specific game objectives."
Comparison of Change of Direction Speed Performance and Asymmetries between Team-Sport Athletes: Application of Change of Direction Deficit,2018-12-12,MDPI AG,Sports,"Thomas Dos’Santos, Christopher Thomas, Paul Comfort, Paul A. Jones","The purpose of this study was twofold: (1) to examine differences in change of direction (COD) performance and asymmetries between team-sports while considering the effects of sex and sport; (2) to evaluate the relationship between linear speed, COD completion time, and COD deficit. A total of 115 (56 males, 59 females) athletes active in cricket, soccer, netball, and basketball performed the 505 for both left and right limbs and a 10-m sprint test. All team-sports displayed directional dominance (i.e., faster turning performance/shorter COD deficits towards a direction) (p ≤ 0.001, g = -0.62 to -0.96, -11.0% to -28.4%) with, male cricketers tending to demonstrate the greatest COD deficit asymmetries between directions compared to other team-sports (28.4 ± 26.5%, g = 0.19⁻0.85), while female netballers displayed the lowest asymmetries (11.0 ± 10.1%, g = 0.14⁻0.86). Differences in sprint and COD performance were observed between sexes and sports, with males demonstrating faster 10-m sprint times, and 505 times compared to females of the same sport. Male soccer and male cricketers displayed shorter COD deficits compared to females of the same sport; however, female court athletes demonstrated shorter COD deficits compared to male court athletes. Large significant associations (ρ = 0.631⁻0.643, p < 0.001) between 505 time and COD deficit were revealed, while trivial, non-significant associations (ρ ≤ -0.094, p ≥ 0.320) between COD deficit and 10-m sprint times were observed. In conclusion, male and female team-sport athletes display significant asymmetries and directional dominance during a high approach velocity 180° turning task. Coaches and practitioners are advised to apply the COD deficit for a more isolated measure of COD ability (i.e., not biased towards athletes with superior acceleration and linear speed) and perform COD speed assessments from both directions to establish directional dominance and create a COD symmetry profile.","The paper investigates change of direction (COD) speed performance and asymmetries among team-sport athletes, examining the impact of sex and sport on these metrics. It highlights significant directional dominance in COD tasks, with notable differences observed between male and female athletes across various sports, suggesting a need for tailored COD speed assessments to account for these asymmetries."
Data-Driven Visual Performance Analysis in Soccer: An Exploratory Prototype,2018-12-05,Frontiers Media SA,Frontiers in Psychology,"Alejandro Benito Santos, Roberto Theron, Antonio Losada, Jaime E. Sampaio, Carlos Lago-Peñas","In soccer, understanding of collective tactical behaviour has become an integral part in sports analysis at elite levels. Evolution of technology allows collection of in-creasingly larger and more specific data sets related to sport activities in cost-effective and accessible manner. All this information is minutely scrutinized by thousands of analysts around the globe in search of an-swers that can in the long term help increase the performance of indi-viduals or teams in their respective competitions. As the volume of data increases in size, so does the complexity of the problem and the need for suitable tools that leverage the cognitive load involved in the inves-tigation. It is proven that visualization and computer-vision techniques, correctly applied to the context of a problem, help data analysts focus on the relevant information at each stage of the process, and generally lead to a better understanding of the facts that lie behind the data. In the current study, we presented a software prototype capable of assisting researchers and performance analysts in their duty of studying group collective behavior in soccer games and trainings. We used geospatial data acquired from a professional match to demonstrate its capabilities in two different case studies. Furthermore, we successfully proved the efficiency of the different visualization techniques implemented in the prototype and demonstrated how visual analysis can effectively improve some of the basic tasks employed by sports experts on their daily work, complementing more traditional approaches.","This paper presents a software prototype designed to enhance the analysis of collective tactical behavior in soccer through data-driven visual performance analysis. It highlights the effective use of visualization and computer-vision techniques to assist performance analysts and researchers in interpreting geospatial data from matches, ultimately improving their understanding and efficiency in analyzing team dynamics."
Football concussion case series using biomechanical and video analysis,2018-12-04,Ovid Technologies (Wolters Kluwer Health),Neurology,"Mirellie Kelley, Jillian Urban, Derek Jones, Alexander Powers, Christopher T. Whitlow, Joseph Maldjian, Joel Stitzel","Approximately 1.1–1.9 million sport-related concussions among athletes ≤18 years of age occur annually in the United States, but there is limited understanding of the biomechanics and injury mechanisms associated with concussions among lower level football athletes. Therefore, the objective of this study was to combine biomechanical head impact data with video analysis to characterize youth and HS football concussion injury mechanisms. Head impact data were collected from athletes participating on 22 youth and 6 HS football teams between 2012 and 2017. Video was recorded, and head impact data were collected during all practices and games by instrumenting players with the Head Impact Telemetry (HIT) System. For each clinically diagnosed concussion, a video abstraction form was completed, which included questions concerning the context in which the injury occurred. Linear acceleration, rotational acceleration, and impact location were used to characterize the concussive event and each injured athlete9s head impact exposure on the day of the concussion. A total of 9 (5 HS and 4 youth) concussions with biomechanics and video of the event were included in this study. The mean [range] linear and rotational acceleration of the concussive impacts were 62.9 [29.3–118.4] g and 3,056.7 [1,046.8–6,954.6] rad/s<sup>2</sup>, respectively. Concussive impacts were the highest magnitude impacts for 6 players and in the top quartile of impacts for 3 players on the day of injury. Concussions occurred in both practices (N = 4) and games (N = 5). The most common injury contact surface was helmet-to-helmet (N = 5), followed by helmet-to-ground (N = 3) and helmet-to-body (N = 1). All injuries occurred during player-to-player contact scenarios, including tackling (N = 4), blocking (N = 4), and collision with other players (N = 1). The biomechanics and injury mechanisms of concussions varied among athletes in our study; however, concussive impacts were among the highest severity for each player and all concussions occurred as a result of player-to-player contact.","This study analyzes the biomechanics of concussions in youth and high school football by combining head impact data and video analysis to identify injury mechanisms. It highlights the specific circumstances of concussions, revealing that high-magnitude impacts occurred primarily during player-to-player contact situations, with helmet-to-helmet collisions being the most common injury type."
Head impact burden and change in neurocognitive function over 2 seasons of youth football participation,2018-12-04,Ovid Technologies (Wolters Kluwer Health),Neurology,"Sean C. Rose, Keith Yeates, Matthew T McCarthy, Darren R Fuerst, Patrick Ercole, Joseph Nguyen, Natalie Pizzimenti","<h3>Objective</h3> To determine the association of repetitive sub-concussive head impacts with neurocognitive outcomes in primary school and high school tackle football players. <h3>Methods</h3> We conducted a prospective cohort study of 35 primary school players age 9–12 and 20 high school players age 15–18 who each participated in 2 consecutive seasons of tackle football from 2016 to 2017. Helmet-based sensors were used to record head impacts during contact practices and games, which were summed as a cumulative impact for the 2 football seasons. Players were also divided into high intensity and low intensity groups based on whether they sustained high g-force impacts in both seasons. Players completed assessments on a variety of outcomes before the 2016 season and after the 2017 season: neuropsychological test performance, symptom ratings, vestibular-ocular function, balance, parent-completed ADHD symptoms, and self-reported behavioral adjustment. <h3>Results</h3> Average cumulative impact was 6,920 (SD 4,553) g-forces combined for the 2 seasons and did not differ between age groups (<i>p</i> = 0.66). Twenty-one players (38%) were classified as high intensity based on individual impacts. After correcting for multiple comparisons, neither cumulative impact nor impact intensity predicted change scores from pre-2016 season to post-2017 season on any outcome measures. Instead, younger age group and history of ADHD predicted worse change scores on several cognitive measures and ADHD symptom reporting. <h3>Conclusions</h3> Over 2 consecutive seasons of primary and high school tackle football participation, cumulative head impact burden and intensity of impacts were not found to be associated with changes in cognition, balance, vestibular-ocular function, or behavioral adjustment.","The paper investigates the relationship between repetitive sub-concussive head impacts and neurocognitive outcomes among youth football players across two seasons. Despite monitoring cumulative impacts through helmet sensors and assessing various cognitive and behavioral measures, the study found no significant association between head impact burden and changes in neurocognitive function, with younger age and ADHD history being more predictive of cognitive outcomes."
